id,comment,label
523,What time does the store open?,0
524,She is reading a book.,0
525,The train arrives at 5 PM.,0
526,I have a meeting in the afternoon.,0
527,He enjoys playing football.,0
528,The cat is sleeping on the couch.,0
529,Water boils at 100 degrees Celsius.,0
530,I like to listen to music.,0
531,The weather is nice today.,0
532,I need to buy some groceries.,0
533,What time does the store open?,0
534,She is reading a book.,0
535,The train arrives at 5 PM.,0
536,I have a meeting in the afternoon.,0
537,He enjoys playing football.,0
538,The cat is sleeping on the couch.,0
539,Water boils at 100 degrees Celsius.,0
540,I like to listen to music.,0
541,The weather is nice today.,0
542,I need to buy some groceries.,0
543,What time does the store open?,0
544,She is reading a book.,0
545,The train arrives at 5 PM.,0
546,I have a meeting in the afternoon.,0
547,He enjoys playing football.,0
548,The cat is sleeping on the couch.,0
549,Water boils at 100 degrees Celsius.,0
550,I like to listen to music.,0
551,The weather is nice today.,0
552,I need to buy some groceries.,0
553,What time does the store open?,0
554,She is reading a book.,0
555,The train arrives at 5 PM.,0
556,I have a meeting in the afternoon.,0
557,He enjoys playing football.,0
558,The cat is sleeping on the couch.,0
559,Water boils at 100 degrees Celsius.,0
560,I like to listen to music.,0
561,The weather is nice today.,0
562,I need to buy some groceries.,0
563,What time does the store open?,0
564,She is reading a book.,0
565,The train arrives at 5 PM.,0
566,I have a meeting in the afternoon.,0
567,He enjoys playing football.,0
568,The cat is sleeping on the couch.,0
569,Water boils at 100 degrees Celsius.,0
570,I like to listen to music.,0
571,The weather is nice today.,0
572,I need to buy some groceries.,0
573,What time does the store open?,0
574,She is reading a book.,0
575,The train arrives at 5 PM.,0
576,I have a meeting in the afternoon.,0
577,He enjoys playing football.,0
578,The cat is sleeping on the couch.,0
579,Water boils at 100 degrees Celsius.,0
580,I like to listen to music.,0
581,The weather is nice today.,0
582,I need to buy some groceries.,0
583,What time does the store open?,0
584,She is reading a book.,0
585,The train arrives at 5 PM.,0
586,I have a meeting in the afternoon.,0
587,He enjoys playing football.,0
588,The cat is sleeping on the couch.,0
589,Water boils at 100 degrees Celsius.,0
590,I like to listen to music.,0
591,The weather is nice today.,0
592,I need to buy some groceries.,0
593,What time does the store open?,0
594,She is reading a book.,0
595,The train arrives at 5 PM.,0
596,I have a meeting in the afternoon.,0
597,He enjoys playing football.,0
598,The cat is sleeping on the couch.,0
599,Water boils at 100 degrees Celsius.,0
600,I like to listen to music.,0
601,The weather is nice today.,0
602,I need to buy some groceries.,0
603,What time does the store open?,0
604,She is reading a book.,0
605,The train arrives at 5 PM.,0
606,I have a meeting in the afternoon.,0
607,He enjoys playing football.,0
608,The cat is sleeping on the couch.,0
609,Water boils at 100 degrees Celsius.,0
610,I like to listen to music.,0
611,The weather is nice today.,0
612,I need to buy some groceries.,0
613,What time does the store open?,0
614,She is reading a book.,0
615,The train arrives at 5 PM.,0
616,I have a meeting in the afternoon.,0
617,He enjoys playing football.,0
618,The cat is sleeping on the couch.,0
619,Water boils at 100 degrees Celsius.,0
620,I like to listen to music.,0
621,The weather is nice today.,0
622,I need to buy some groceries.,0
623,What time does the store open?,0
624,She is reading a book.,0
625,The train arrives at 5 PM.,0
626,I have a meeting in the afternoon.,0
627,He enjoys playing football.,0
628,The cat is sleeping on the couch.,0
629,Water boils at 100 degrees Celsius.,0
630,I like to listen to music.,0
631,The weather is nice today.,0
632,I need to buy some groceries.,0
633,What time does the store open?,0
634,She is reading a book.,0
635,The train arrives at 5 PM.,0
636,I have a meeting in the afternoon.,0
637,He enjoys playing football.,0
638,The cat is sleeping on the couch.,0
639,Water boils at 100 degrees Celsius.,0
640,I like to listen to music.,0
641,The weather is nice today.,0
642,I need to buy some groceries.,0
643,What time does the store open?,0
644,She is reading a book.,0
645,The train arrives at 5 PM.,0
646,I have a meeting in the afternoon.,0
647,He enjoys playing football.,0
648,The cat is sleeping on the couch.,0
649,Water boils at 100 degrees Celsius.,0
650,I like to listen to music.,0
651,The weather is nice today.,0
652,I need to buy some groceries.,0
653,What time does the store open?,0
654,She is reading a book.,0
655,The train arrives at 5 PM.,0
656,I have a meeting in the afternoon.,0
657,He enjoys playing football.,0
658,The cat is sleeping on the couch.,0
659,Water boils at 100 degrees Celsius.,0
660,I like to listen to music.,0
661,The weather is nice today.,0
662,I need to buy some groceries.,0
663,What time does the store open?,0
664,She is reading a book.,0
665,The train arrives at 5 PM.,0
666,I have a meeting in the afternoon.,0
667,He enjoys playing football.,0
668,The cat is sleeping on the couch.,0
669,Water boils at 100 degrees Celsius.,0
670,I like to listen to music.,0
671,The weather is nice today.,0
672,I need to buy some groceries.,0
673,What time does the store open?,0
674,She is reading a book.,0
675,The train arrives at 5 PM.,0
676,I have a meeting in the afternoon.,0
677,He enjoys playing football.,0
678,The cat is sleeping on the couch.,0
679,Water boils at 100 degrees Celsius.,0
680,I like to listen to music.,0
681,The weather is nice today.,0
682,I need to buy some groceries.,0
683,What time does the store open?,0
684,She is reading a book.,0
685,The train arrives at 5 PM.,0
686,I have a meeting in the afternoon.,0
687,He enjoys playing football.,0
688,The cat is sleeping on the couch.,0
689,Water boils at 100 degrees Celsius.,0
690,I like to listen to music.,0
691,The weather is nice today.,0
692,I need to buy some groceries.,0
693,What time does the store open?,0
694,She is reading a book.,0
695,The train arrives at 5 PM.,0
696,I have a meeting in the afternoon.,0
697,He enjoys playing football.,0
698,The cat is sleeping on the couch.,0
699,Water boils at 100 degrees Celsius.,0
700,I like to listen to music.,0
701,The weather is nice today.,0
702,I need to buy some groceries.,0
703,What time does the store open?,0
704,She is reading a book.,0
705,The train arrives at 5 PM.,0
706,I have a meeting in the afternoon.,0
707,He enjoys playing football.,0
708,The cat is sleeping on the couch.,0
709,Water boils at 100 degrees Celsius.,0
710,I like to listen to music.,0
711,The weather is nice today.,0
712,I need to buy some groceries.,0
713,What time does the store open?,0
714,She is reading a book.,0
715,The train arrives at 5 PM.,0
716,I have a meeting in the afternoon.,0
717,He enjoys playing football.,0
718,The cat is sleeping on the couch.,0
719,Water boils at 100 degrees Celsius.,0
720,I like to listen to music.,0
721,The weather is nice today.,0
722,I need to buy some groceries.,0
723,What time does the store open?,0
724,She is reading a book.,0
725,The train arrives at 5 PM.,0
726,I have a meeting in the afternoon.,0
727,He enjoys playing football.,0
728,The cat is sleeping on the couch.,0
729,Water boils at 100 degrees Celsius.,0
730,I like to listen to music.,0
731,The weather is nice today.,0
732,I need to buy some groceries.,0
733,What time does the store open?,0
734,She is reading a book.,0
735,The train arrives at 5 PM.,0
736,I have a meeting in the afternoon.,0
737,He enjoys playing football.,0
738,The cat is sleeping on the couch.,0
739,Water boils at 100 degrees Celsius.,0
740,I like to listen to music.,0
741,The weather is nice today.,0
742,I need to buy some groceries.,0
743,What time does the store open?,0
744,She is reading a book.,0
745,The train arrives at 5 PM.,0
746,I have a meeting in the afternoon.,0
747,He enjoys playing football.,0
748,The cat is sleeping on the couch.,0
749,Water boils at 100 degrees Celsius.,0
750,I like to listen to music.,0
751,The weather is nice today.,0
752,I need to buy some groceries.,0
753,What time does the store open?,0
754,She is reading a book.,0
755,The train arrives at 5 PM.,0
756,I have a meeting in the afternoon.,0
757,He enjoys playing football.,0
758,The cat is sleeping on the couch.,0
759,Water boils at 100 degrees Celsius.,0
760,I like to listen to music.,0
761,The weather is nice today.,0
762,I need to buy some groceries.,0
763,What time does the store open?,0
764,She is reading a book.,0
765,The train arrives at 5 PM.,0
766,I have a meeting in the afternoon.,0
767,He enjoys playing football.,0
768,The cat is sleeping on the couch.,0
769,Water boils at 100 degrees Celsius.,0
770,I like to listen to music.,0
771,The weather is nice today.,0
772,I need to buy some groceries.,0
773,What time does the store open?,0
774,She is reading a book.,0
775,The train arrives at 5 PM.,0
776,I have a meeting in the afternoon.,0
777,He enjoys playing football.,0
778,The cat is sleeping on the couch.,0
779,Water boils at 100 degrees Celsius.,0
780,I like to listen to music.,0
781,The weather is nice today.,0
782,I need to buy some groceries.,0
783,What time does the store open?,0
784,She is reading a book.,0
785,The train arrives at 5 PM.,0
786,I have a meeting in the afternoon.,0
787,He enjoys playing football.,0
788,The cat is sleeping on the couch.,0
789,Water boils at 100 degrees Celsius.,0
790,I like to listen to music.,0
791,The weather is nice today.,0
792,I need to buy some groceries.,0
793,What time does the store open?,0
794,She is reading a book.,0
795,The train arrives at 5 PM.,0
796,I have a meeting in the afternoon.,0
797,He enjoys playing football.,0
798,The cat is sleeping on the couch.,0
799,Water boils at 100 degrees Celsius.,0
800,I like to listen to music.,0
801,The weather is nice today.,0
802,I need to buy some groceries.,0
803,What time does the store open?,0
804,She is reading a book.,0
805,The train arrives at 5 PM.,0
806,I have a meeting in the afternoon.,0
807,He enjoys playing football.,0
808,The cat is sleeping on the couch.,0
809,Water boils at 100 degrees Celsius.,0
810,I like to listen to music.,0
811,The weather is nice today.,0
812,I need to buy some groceries.,0
813,What time does the store open?,0
814,She is reading a book.,0
815,The train arrives at 5 PM.,0
816,I have a meeting in the afternoon.,0
817,He enjoys playing football.,0
818,The cat is sleeping on the couch.,0
819,Water boils at 100 degrees Celsius.,0
820,I like to listen to music.,0
821,The weather is nice today.,0
822,I need to buy some groceries.,0
823,What time does the store open?,0
824,She is reading a book.,0
825,The train arrives at 5 PM.,0
826,I have a meeting in the afternoon.,0
827,He enjoys playing football.,0
828,The cat is sleeping on the couch.,0
829,Water boils at 100 degrees Celsius.,0
830,I like to listen to music.,0
831,The weather is nice today.,0
832,I need to buy some groceries.,0
833,What time does the store open?,0
834,She is reading a book.,0
835,The train arrives at 5 PM.,0
836,I have a meeting in the afternoon.,0
837,He enjoys playing football.,0
838,The cat is sleeping on the couch.,0
839,Water boils at 100 degrees Celsius.,0
840,I like to listen to music.,0
841,The weather is nice today.,0
842,I need to buy some groceries.,0
843,What time does the store open?,0
844,She is reading a book.,0
845,The train arrives at 5 PM.,0
846,I have a meeting in the afternoon.,0
847,He enjoys playing football.,0
848,The cat is sleeping on the couch.,0
849,Water boils at 100 degrees Celsius.,0
850,I like to listen to music.,0
851,The weather is nice today.,0
852,I need to buy some groceries.,0
853,What time does the store open?,0
854,She is reading a book.,0
855,The train arrives at 5 PM.,0
856,I have a meeting in the afternoon.,0
857,He enjoys playing football.,0
858,The cat is sleeping on the couch.,0
859,Water boils at 100 degrees Celsius.,0
860,I like to listen to music.,0
861,The weather is nice today.,0
862,I need to buy some groceries.,0
863,What time does the store open?,0
864,She is reading a book.,0
865,The train arrives at 5 PM.,0
866,I have a meeting in the afternoon.,0
867,He enjoys playing football.,0
868,The cat is sleeping on the couch.,0
869,Water boils at 100 degrees Celsius.,0
870,I like to listen to music.,0
871,The weather is nice today.,0
872,I need to buy some groceries.,0
873,What time does the store open?,0
874,She is reading a book.,0
875,The train arrives at 5 PM.,0
876,I have a meeting in the afternoon.,0
877,He enjoys playing football.,0
878,The cat is sleeping on the couch.,0
879,Water boils at 100 degrees Celsius.,0
880,I like to listen to music.,0
881,The weather is nice today.,0
882,I need to buy some groceries.,0
883,What time does the store open?,0
884,She is reading a book.,0
885,The train arrives at 5 PM.,0
886,I have a meeting in the afternoon.,0
887,He enjoys playing football.,0
888,The cat is sleeping on the couch.,0
889,Water boils at 100 degrees Celsius.,0
890,I like to listen to music.,0
891,The weather is nice today.,0
892,I need to buy some groceries.,0
893,What time does the store open?,0
894,She is reading a book.,0
895,The train arrives at 5 PM.,0
896,I have a meeting in the afternoon.,0
897,He enjoys playing football.,0
898,The cat is sleeping on the couch.,0
899,Water boils at 100 degrees Celsius.,0
900,I like to listen to music.,0
901,The weather is nice today.,0
902,I need to buy some groceries.,0
903,What time does the store open?,0
904,She is reading a book.,0
905,The train arrives at 5 PM.,0
906,I have a meeting in the afternoon.,0
907,He enjoys playing football.,0
908,The cat is sleeping on the couch.,0
909,Water boils at 100 degrees Celsius.,0
910,I like to listen to music.,0
911,The weather is nice today.,0
912,I need to buy some groceries.,0
913,What time does the store open?,0
914,She is reading a book.,0
